ogc_fid,time,wkb_geometry
11462,2024-01-19 16:42:02.000 +1100,POINT (153.42577498942532 -27.958197506653914)
11463,2024-01-19 16:42:04.000 +1100,POINT (153.42578229712294 -27.958226503586246)
11464,2024-01-19 16:42:07.000 +1100,POINT (153.42578524384484 -27.958260430182907)
11465,2024-01-19 16:42:09.000 +1100,POINT (153.4257877611507 -27.958279573704022)
11466,2024-01-19 16:42:16.000 +1100,POINT (153.42579652699914 -27.958305219436802)
11467,2024-01-19 16:42:19.000 +1100,POINT (153.42582496772044 -27.95831225783978)
11468,2024-01-19 16:42:23.000 +1100,POINT (153.42584829835928 -27.958296474661022)
11469,2024-01-19 16:42:27.000 +1100,POINT (153.42587387311193 -27.95830173973357)
11470,2024-01-19 16:42:29.000 +1100,POINT (153.42589081774744 -27.95831724667415)
11471,2024-01-19 16:42:34.000 +1100,POINT (153.42586731831807 -27.95832783952822)
11472,2024-01-19 16:42:37.000 +1100,POINT (153.42584837651168 -27.958356796112263)
11473,2024-01-19 16:42:38.000 +1100,POINT (153.42586548412845 -27.958374481303842)
11474,2024-01-19 16:42:40.000 +1100,POINT (153.42587517429044 -27.95839127661699)
11475,2024-01-19 16:42:41.000 +1100,POINT (153.425878003189 -27.95841117353951)
11476,2024-01-19 16:42:42.000 +1100,POINT (153.4258667231118 -27.958390909808248)
11477,2024-01-19 16:42:43.000 +1100,POINT (153.42586323578718 -27.958409762746264)
11478,2024-01-19 16:42:45.000 +1100,POINT (153.42585417745167 -27.958458933198425)
11479,2024-01-19 16:42:49.000 +1100,POINT (153.42583791774535 -27.958479058806024)
11480,2024-01-19 16:42:52.000 +1100,POINT (153.42587920768133 -27.958464210611687)
11481,2024-01-19 16:43:10.000 +1100,POINT (153.42589060737333 -27.95848475345441)
11482,2024-01-19 16:43:19.000 +1100,POINT (153.4259085942641 -27.95849948548684)
11483,2024-01-19 16:43:26.000 +1100,POINT (153.4259279930191 -27.958509892658626)
11484,2024-01-19 16:43:48.000 +1100,POINT (153.4259538754957 -27.958507178670825)
11485,2024-01-19 16:44:13.000 +1100,POINT (153.42593382561734 -27.95851048793071)
11486,2024-01-19 16:44:25.000 +1100,POINT (153.4259112800268 -27.958496676659312)
11487,2024-01-19 16:45:01.000 +1100,POINT (153.4258993563973 -27.958481946423678)
11488,2024-01-19 16:45:40.000 +1100,POINT (153.42587639861244 -27.95847367991808)
11489,2024-01-19 16:45:44.000 +1100,POINT (153.42587798686264 -27.95849703252237)
11490,2024-01-19 16:45:46.000 +1100,POINT (153.42588956032506 -27.958513184691093)
11491,2024-01-19 16:45:55.000 +1100,POINT (153.42590989646172 -27.958510769486274)
11492,2024-01-19 16:46:07.000 +1100,POINT (153.42593131326663 -27.958512621451863)
11493,2024-01-19 16:46:23.000 +1100,POINT (153.42595209969195 -27.958513975000272)
11494,2024-01-19 16:46:41.000 +1100,POINT (153.42593153871186 -27.958517900460066)
11495,2024-01-19 16:46:49.000 +1100,POINT (153.42591143561214 -27.95850811109764)
11496,2024-01-19 16:47:37.000 +1100,POINT (153.42588288263073 -27.958514478671464)
11497,2024-01-19 16:47:45.000 +1100,POINT (153.4259084913356 -27.958511030887173)
11498,2024-01-19 16:48:10.000 +1100,POINT (153.42592672125167 -27.95849539193686)
11499,2024-01-19 16:48:14.000 +1100,POINT (153.42590419229572 -27.958498478734082)
11500,2024-01-19 16:48:23.000 +1100,POINT (153.4258528402647 -27.958497193466698)
11501,2024-01-19 16:48:29.000 +1100,POINT (153.42584624995382 -27.958516419803622)
11502,2024-01-19 16:48:39.000 +1100,POINT (153.42583648223422 -27.95849522254597)
11503,2024-01-19 16:48:53.000 +1100,POINT (153.42582061052718 -27.95851725409493)
11504,2024-01-19 16:49:23.000 +1100,POINT (153.4258418424823 -27.958511928577455)
11505,2024-01-19 16:50:13.000 +1100,POINT (153.4258418059753 -27.95853278214571)
11506,2024-01-19 16:50:17.000 +1100,POINT (153.42582013186887 -27.958522337787624)
11507,2024-01-19 16:50:20.000 +1100,POINT (153.42582313283344 -27.958503915323014)
11508,2024-01-19 16:50:25.000 +1100,POINT (153.42584013545644 -27.958487978801195)
11509,2024-01-19 16:50:42.000 +1100,POINT (153.42587754282707 -27.958440910493)
11510,2024-01-19 16:54:06.000 +1100,POINT (153.42587224448758 -27.958422183880028)
11511,2024-01-19 16:54:27.000 +1100,POINT (153.42589397642743 -27.958426957178627)
11512,2024-01-19 16:54:46.000 +1100,POINT (153.42587868528176 -27.958449541826784)
11513,2024-01-19 16:54:49.000 +1100,POINT (153.42589259067532 -27.958467858711934)
11514,2024-01-19 16:54:51.000 +1100,POINT (153.42591449799815 -27.9584679049718)
11515,2024-01-19 16:55:01.000 +1100,POINT (153.42590001052935 -27.95844742254755)
11516,2024-01-19 16:55:09.000 +1100,POINT (153.42592324575656 -27.95844969903017)
11517,2024-01-19 16:55:25.000 +1100,POINT (153.4259074374449 -27.958467840218173)
11518,2024-01-19 16:55:32.000 +1100,POINT (153.42588654673807 -27.95845741531127)
11519,2024-01-19 16:55:51.000 +1100,POINT (153.42587457965612 -27.958472195925776)
11520,2024-01-19 16:56:00.000 +1100,POINT (153.42589202456315 -27.958462770540805)
11521,2024-01-19 16:56:07.000 +1100,POINT (153.42586231662614 -27.958472103694405)
11522,2024-01-19 16:57:06.000 +1100,POINT (153.42587617940438 -27.958456564005186)
11523,2024-01-19 16:57:40.000 +1100,POINT (153.42590035790755 -27.958461804399114)
11524,2024-01-19 16:58:07.000 +1100,POINT (153.42590896964535 -27.95849376832476)
11525,2024-01-19 16:58:08.000 +1100,POINT (153.42590354344244 -27.958473612999878)
11526,2024-01-19 16:58:38.000 +1100,POINT (153.4258842507153 -27.958483876858264)
11527,2024-01-19 16:58:45.000 +1100,POINT (153.42590308653376 -27.95847650881451)
11528,2024-01-19 16:58:52.000 +1100,POINT (153.42587519228715 -27.958487542397066)
11529,2024-01-19 16:59:06.000 +1100,POINT (153.42589190764977 -27.958472340486335)
