ogc_fid,time,wkb_geometry,date,hour,minute,second,longitude,latitude
11382,16:31:51.000,POINT (153.42608692325942 -27.957835146555798),2024-01-19,16,31,51.000,153.42608692325942,-27.957835146555798
11383,16:31:57.000,POINT (153.4261590698551 -27.95785665238285),2024-01-19,16,31,57.000,153.4261590698551,-27.95785665238285
11384,16:32:03.000,POINT (153.42614124460314 -27.957845039705933),2024-01-19,16,32,03.000,153.42614124460314,-27.957845039705933
11385,16:32:10.000,POINT (153.42620374503957 -27.9578084339138),2024-01-19,16,32,10.000,153.42620374503957,-27.9578084339138
11386,16:32:14.000,POINT (153.42623238554899 -27.957777704390846),2024-01-19,16,32,14.000,153.42623238554899,-27.957777704390846
11387,16:32:20.000,POINT (153.42620998454063 -27.957782545957617),2024-01-19,16,32,20.000,153.42620998454063,-27.957782545957617
11388,16:32:29.000,POINT (153.42621703987763 -27.95776409871275),2024-01-19,16,32,29.000,153.42621703987763,-27.95776409871275
11389,16:32:38.000,POINT (153.42616919750415 -27.957776852947745),2024-01-19,16,32,38.000,153.42616919750415,-27.957776852947745
11390,16:32:43.000,POINT (153.42618855654348 -27.95778242648155),2024-01-19,16,32,43.000,153.42618855654348,-27.95778242648155
11391,16:32:47.000,POINT (153.42618714973767 -27.95777105283698),2024-01-19,16,32,47.000,153.42618714973767,-27.95777105283698
11392,16:33:05.000,POINT (153.42615409528798 -27.9577765746609),2024-01-19,16,33,05.000,153.42615409528798,-27.9577765746609
11393,16:33:16.000,POINT (153.42614130175193 -27.95779353808676),2024-01-19,16,33,16.000,153.42614130175193,-27.95779353808676
11394,16:33:17.000,POINT (153.42616345270895 -27.957784214617803),2024-01-19,16,33,17.000,153.42616345270895,-27.957784214617803
11395,16:33:18.000,POINT (153.42620881969668 -27.957750446450614),2024-01-19,16,33,18.000,153.42620881969668,-27.957750446450614
11396,16:33:19.000,POINT (153.4262521480448 -27.957839049025377),2024-01-19,16,33,19.000,153.4262521480448,-27.957839049025377
11397,16:33:20.000,POINT (153.42615513242205 -27.957720364125),2024-01-19,16,33,20.000,153.42615513242205,-27.957720364125
11398,16:33:21.000,POINT (153.42615349519247 -27.957714554680805),2024-01-19,16,33,21.000,153.42615349519247,-27.957714554680805
11399,16:33:23.000,POINT (153.42615349519247 -27.957714554680805),2024-01-19,16,33,23.000,153.42615349519247,-27.957714554680805
11400,16:33:24.000,POINT (153.42615349519247 -27.957714554680805),2024-01-19,16,33,24.000,153.42615349519247,-27.957714554680805
11401,16:33:25.000,POINT (153.42615349519247 -27.957714554680805),2024-01-19,16,33,25.000,153.42615349519247,-27.957714554680805
11402,16:33:27.000,POINT (153.42615349519247 -27.957714554680805),2024-01-19,16,33,27.000,153.42615349519247,-27.957714554680805
11403,16:33:32.000,POINT (153.42615349519247 -27.957714554680805),2024-01-19,16,33,32.000,153.42615349519247,-27.957714554680805
11404,16:37:11.000,POINT (153.42627579261588 -27.957839958366232),2024-01-19,16,37,11.000,153.42627579261588,-27.957839958366232
11405,16:39:18.000,POINT (153.42641207283668 -27.957730596399156),2024-01-19,16,39,18.000,153.42641207283668,-27.957730596399156
11406,16:39:22.000,POINT (153.4263977757638 -27.957783110539406),2024-01-19,16,39,22.000,153.4263977757638,-27.957783110539406
11407,16:39:23.000,POINT (153.4263977757638 -27.957783110539406),2024-01-19,16,39,23.000,153.4263977757638,-27.957783110539406
11408,16:39:25.000,POINT (153.42640014173963 -27.957808437130797),2024-01-19,16,39,25.000,153.42640014173963,-27.957808437130797
11409,16:39:28.000,POINT (153.42641393438674 -27.957827065878302),2024-01-19,16,39,28.000,153.42641393438674,-27.957827065878302
11410,16:40:03.000,POINT (153.42664373499915 -27.957977484283347),2024-01-19,16,40,03.000,153.42664373499915,-27.957977484283347
11411,16:40:04.000,POINT (153.42656233253135 -27.957965530085968),2024-01-19,16,40,04.000,153.42656233253135,-27.957965530085968
11412,16:40:05.000,POINT (153.42653915495436 -27.957994486758743),2024-01-19,16,40,05.000,153.42653915495436,-27.957994486758743
11413,16:40:08.000,POINT (153.4265387376094 -27.958016415739763),2024-01-19,16,40,08.000,153.4265387376094,-27.958016415739763
11414,16:40:11.000,POINT (153.42654938264047 -27.958041230213084),2024-01-19,16,40,11.000,153.42654938264047,-27.958041230213084
11415,16:40:14.000,POINT (153.42652904582778 -27.958061209617544),2024-01-19,16,40,14.000,153.42652904582778,-27.958061209617544
11416,16:40:17.000,POINT (153.42650373350006 -27.95807476449207),2024-01-19,16,40,17.000,153.42650373350006,-27.95807476449207
11417,16:40:19.000,POINT (153.42647900349473 -27.958097180036102),2024-01-19,16,40,19.000,153.42647900349473,-27.958097180036102
11418,16:40:21.000,POINT (153.42645968645 -27.958113329897746),2024-01-19,16,40,21.000,153.42645968645,-27.958113329897746
11419,16:40:24.000,POINT (153.42647049513263 -27.95809362413223),2024-01-19,16,40,24.000,153.42647049513263,-27.95809362413223
11420,16:40:26.000,POINT (153.42645393474945 -27.95810526675607),2024-01-19,16,40,26.000,153.42645393474945,-27.95810526675607
11421,16:40:34.000,POINT (153.42642667305617 -27.958105110698334),2024-01-19,16,40,34.000,153.42642667305617,-27.958105110698334
11422,16:40:36.000,POINT (153.42639303911147 -27.958097090768543),2024-01-19,16,40,36.000,153.42639303911147,-27.958097090768543
11423,16:40:40.000,POINT (153.4263697095736 -27.958109734854567),2024-01-19,16,40,40.000,153.4263697095736,-27.958109734854567
11424,16:40:42.000,POINT (153.426354693396 -27.958051643831894),2024-01-19,16,40,42.000,153.426354693396,-27.958051643831894
11425,16:40:43.000,POINT (153.42633290676844 -27.957902562989933),2024-01-19,16,40,43.000,153.42633290676844,-27.957902562989933
11426,16:40:44.000,POINT (153.42636956235248 -27.957824992502626),2024-01-19,16,40,44.000,153.42636956235248,-27.957824992502626
11427,16:40:45.000,POINT (153.42635951284507 -27.957802095240535),2024-01-19,16,40,45.000,153.42635951284507,-27.957802095240535
11428,16:40:46.000,POINT (153.42635671397647 -27.95784552330994),2024-01-19,16,40,46.000,153.42635671397647,-27.95784552330994
11429,16:40:49.000,POINT (153.42635036532707 -27.957818333973954),2024-01-19,16,40,49.000,153.42635036532707,-27.957818333973954
11430,16:40:51.000,POINT (153.42631590565884 -27.95803450325531),2024-01-19,16,40,51.000,153.42631590565884,-27.95803450325531
11431,16:40:52.000,POINT (153.42637820013434 -27.958099961738508),2024-01-19,16,40,52.000,153.42637820013434,-27.958099961738508
11432,16:40:53.000,POINT (153.4263520255985 -27.958122535427965),2024-01-19,16,40,53.000,153.4263520255985,-27.958122535427965
